rvprcomments,wasreturned,wfsku,year
Absolutely thrilled about these.  They are so nicely made I can't wait to get Christmas dining room table set up! Great buy,1,A,2018
They were nice but too big for my area that I needed it for,1,B,2018
I returned this item the item was not the problem after my recent  move I no longer needed it.,1,C,2017
Awful! Sending back. Doesn’t even look close to this. Very cheap looking.,1,D,2018
"There was no replacement bulb as advertised. While the light might be dimmable, you would have to buy an additional dimmer control. It does not emit as much light as the watt rating suggests it would.",1,E,2017
Nice design and quality but really small. I wasn't able to place 8 of the standard size plates on the bottom part of the shelf. Returning,1,F,2018
I love this rug but I am allergic to it.,1,G,2018
Love the shape but the branches' texture and color look too fake. We returned.,1,H,2017
"Pretty, durable, the perfect addition to our kitchen.",1,I,2018
This table is absolutely beautiful!  It ended up being a little taller then I needed so I had to return it.  But I really just loved it and really wished it would have worked in my space.  Easy to put together and a sturdy solid piece.  I would highly recommend.,1,J,2018
This couch isn't white. It's cream.,1,A,2017
"Mattress came folded in a box , not what I was expecting. I tried to return it and the returning process was a big nightmare, I had to paid almost $70 for the return , and I'm still waiting for my refund .",1,B,2018
Great fabric.  My chairs wrong design for this pillow.  Slipped forward. Wicker-type lip on the front of seat.  Back legs curved.  Couldn't tie tightly.,1,C,2018
"Great for outdoors but I ended up returning them because they say online, on the box, and on the instructions that they are good for indoors, but also say they can not be hung from the ceiling nor can they be close to the wall, which eliminates indoor use. I was very disappointed.",1,D,2017
Lightweight and cheery. A nice add for a pop of pattern.,1,E,2017
Client was happy!,1,F,2018
Amazing customer service,1,G,2017
"Well built, easy to hang. looks great above 2 hanging tiffany glass panels we also purchased from Wayfair.",1,H,2017
"From the photo, it appears to be tufted. But in fact there is no button in the center, just a criss-cross of white thread stitching. It looks like a button is missing. The white thread colour does not go with the purples and blues, looks cheap and unfinished. Filling is very, very soft so you sink into the center of the pillow with the sides coming up around you.  Colors are lovely but, all in all, way overiced imo.",1,I,2017
Beautiful and as pictured.,1,J,2017
I think that some of your rugs are not of good quality.  I have ordered rugs from Wayfair that was just not well made and I returned it.,1,A,2017
horrible and way over priced,1,B,2018
It was a lot more cherry wood than the picture shows. Had to return it since it didn't match my sons room.,1,C,2017
"Although the shape and color are nice, the lamp is so lightweight that I feel the slightest bump to the table will cause it to fall over. If you were reaching to turn it on in the dark it would be a disaster!",1,D,2017
"Beautiful rug, but I was disappointed because the color is a faded red, not bright red like the picture.  As I wanted a bright red and white rug, I am returning it.",1,E,2018
